Name,Cost_for_2,Address,About,Type,Facilities,Contact,Cuisine,Latitude,Longitude,Stars,Vote_Count,Review_Count
Sardar-Ji-Bakhsh Coffee & Co.,500,"G-2, DDA Market, 6, Rishabh Vihar Karkardooma Near Bharat Play School East Delhi 110092","Bubble Waffle is a paradise for everyone who has a sweet tooth. The dessert parlour serves sumptuous waffles with various forms of toppings available. Along with the mouth-watering waffles the restaurant also sells other desserts and beverages. They have an extensive menu that is simply a delight for everyone. Bubble Waffle is located in Karkardooma, East Delhi. Read less","Dineout Pay, QSR, Safe To Eat Out, Delhi Operational",No_Facilities,07982844891,"['Desserts,', 'Waffle,', 'Fast', 'Food,', 'Shakes']",28.653416,77.30275,2,2,0
Wow! Momo,2000,"Pacific Mall, 2nd Floor, Najafgarh Road Tagore Garden Near Subash Nagar Metro Station West Delhi 110018","Jamie Oliver's Italian is a Casual Dining restaurant located in the food court of Pacific Mall. This restaurant, as the name suggests is known for its scrumptious pizzas. The menu is not restricted to just pizzas but also has many other delicacies listed on it. Jamie Oliver's Italian holds a lively and cheerful ambience. It is perfect for people who love pizzas and are on a budget. Read less","Dineout Pay, Casual Dining, Delhi Operational","[""Prawn Linguine ,Spaghetti Aglio E Olio ,Tomato Bruschetta ,Tiramisu ,Jamie's Italian Burger""]",01145647869 / 8860400228,"['Italian,', 'Pizza']",28.642394,77.106367,4.3,221,28
Nimtho,1000,"16, Lower Ground Floor, North West Avenue Market, Club Road Punjabi Bagh Near Punjabi Bagh Club West Delhi 110026","Grillz and Gravy is a small and cozy restaurant located at Club Road, Punjabi Bagh. The restaurant serves mouth-watering North Indian and Chinese cuisines. The ambiance of the restaurant is simple yet attractive and the staff is also well trained. Grillz and Gravy is an economical restaurant and offers home delivery facility as well. It is the perfect place to spend some quality time with your family and friends. Read less","Dineout Pay, Casual Dining","['Air Conditioned', 'Home Delivery', 'Parking', 'Cards Accepted', 'Wallet Accepted']",09953843843,"['North', 'Indian,', 'Chinese']",28.665699,77.125991,5,1,0
Hunger Nation,300,"31, Ground Floor, Mahashaya Vasudev Marg, Block 7 Subhash Nagar Near Reebok Search Google Maps West Delhi 110027",4 Chowringhee Lane is a quick service joint located in Subhash Nagar West Delhi. The restaurant is known to awaken your senses with the bold flavours and perfect strike of the balance of the spices in all its delicacies. The staff too is quite efficient in their services and have been successful in keeping the reputation of this place. 34 Chowringhee Lane rings the right notes of your heart so that you can stay delighted step into the heave of its flavorful delicacies. Read less,"Dineout Pay, QSR, Curfew",No_Facilities,07827857907,"['Fast', 'Food']",28.635968,77.118178,5,1,0
Sweet N Crusty,300,"C-44, Ground Floor, Main Road Greater Kailash - 1 Near Capitol Hills South Delhi 110048","Dolce Gelato is an ice-cream and Shakes joint offering delicious desserts. The products served here are made from natural ingredients with no synthetic flavours or essences. The menu is also pocket-friendly. This is the best place for people to experience a natural, fresher and a more nutritious, low-fat version of industrial ice cream. Dolce Gelato is located in Greater Kailash- 1, South Delhi and stands nearby Capitol Hills. Read less","Dineout Pay, QSR, Curfew",No_Facilities,011-41326565,"['Desserts,', 'Ice', 'Cream,', 'Shakes']",28.548293,77.239457,3.7,7,0
Bubble Waffle,1300,"Pankaj Arcade, 18, 1st Floor, Community Centre, Rani Bagh Pitampura Near M2K Cinema North Delhi 110034","Berco's is an ideal destination for all Chinese lovers.The restaurant includes authentic Chinese and Thai cuisine in its pocket-friendly menu and the must haves out of that are 'Sour Soup', 'Chicken Drumsticks','Singapore noodles', 'fruit beer', 'Thai Red Curry' and 'Thai rolls'. And those who are looking for more should watch out for 'Chef's special' which has an interesting mix of offbeat and quintessential Chinese dishes from expert Chefs. The outlet is located in Pitampura, Delhi and is a great place for all Chinese food lovers. Read less","Dineout Pay, Casual Dining, Future Vouchers, Delhi Operational","['Air Conditioned', 'Home Delivery', 'Serves Alcohol', 'Parking', 'Take Away', 'Cards Accepted', 'Full Bar Available', 'Screening', 'Wallet Accepted']",08860625043,"['Chinese,', 'Thai']",28.688666,77.134956,4.3,418,73
Jamie's Pizzeria By Jamie Oliver,2200,"3, West Punjabi Bagh, Club Road Punjabi Bagh Near Kotak Mahindra Bank West Delhi 110026",No_About,"Lounge, Dineout Pay, Bar, Safe To Eat Out","['Air Conditioned', 'Serves Alcohol', 'Cards Accepted', 'Serves Wine', 'Full Bar Available', 'Wallet Accepted']",011-45014501,"['Chinese,', 'Thai,', 'North', 'Indian,', 'Continental']",28.666127,77.125769,3.8,5,0
Grillz & Gravy,1600,"Select Citywalk Mall, S-5, 2nd Floor, A-3, Saket District Centre, Sector 6, Pushp Vihar Saket Near District Court Saket South Delhi 110017","Sattvik is a specialty restaurant that serves authentic North Indian cuisine, which is known for its spicy indulgence and the rich aroma. The various ingredients and a thick gravy preparation instantly give a soul-satisfying taste to the diners. The decor of the casual-dining restaurant shows a glimpse of the rich culture of the country. The pocket-friendly menu has been designed with utmost care to make sure that the flavor and spirit of the traditional Indian cooking come in every dish they serve. This restaurant serves pure-veg dishes. Sattvik is located in Saket and the nearest landmark is Saket City Hospital. Read less","Pure Veg, Dineout Pay, Casual Dining, Safe To Eat Out, Delhi Operational, Hottest in Town","['Air Conditioned', 'Home Delivery', 'Parking', 'Take Away', 'Cards Accepted', 'Wallet Accepted']",09899972159,"['North', 'Indian']",28.528471,77.218671,4.4,559,98
34 Chowringhee Lane,2000,Gardens Galleria Sector 38A Near Wow Water Park Noida 201301,"Sutra is a Pub that surprises you with the food and services they deliver. It is situated at Sector 38A Noida and it serves an outstanding multi cuisine dish that attracts the most. An ambiance is lovely and décor is outstanding. The staff is good and the service is great! An affordable menu has something for everybody. The best thing about the sutra is space, delicious food, environment, and staff. If you are in Delhi for a while and want to get the best food along with drinks then this pub is the best fit for it. Light music is also worth it! Read less","Lounge, Pub, Dineout Pay, Nightlife, Future Vouchers","['Smoking Area', 'Air Conditioned', 'DJ', 'Serves Alcohol', 'Parking', 'Live Performance', 'Cards Accepted', 'Full Bar Available', 'Dance Floor', 'Outdoor Seating', 'Roof Top', 'Wallet Accepted']",0120-66992579,"['Multi-Cuisine,', 'North', 'Indian,', 'Italian,', 'European,', 'American,', 'Asian']",28.564328,77.323662,4.1,467,81
Dolce Gelato,900,"J-13/37, Ground Floor Rajouri Garden Near MKW Hospital West Delhi 201301","Pizza Hut is the leading affordable casual dining restaurant brand in India and was the first international restaurant chain to pioneer this category in India. The restaurant brand offers an eclectic menu consisting of its signature pizzas, appetizers, pasta, desserts, and beverages. The place is known for its trademark dine-in services that they provide. There are about 138 outlets located across the country and this one is located in J Block, Rajouri Garden, Delhi. Read less",QSR,"['Air Conditioned', 'Home Delivery', 'Take Away', 'Cards Accepted', 'Wallet Accepted']",018002022022,"['Pizza,', 'Italian']",28.641907,77.121382,4.2,14,6
Berco's,2000,"SDA Market, C-12, Ground Floor SDA Opposite IIT Main Gate South Delhi 110016","The Beer Café is India's largest beer chain and hosts a light, cheery setting that has a variety of ...  Read more","Happy Hours, Lounge, Nightlife, BOGO Food and Drinks, Bar","['Veggie Slider 3 Ways, Chargrilled Chicken Sliders, Chicken Makhani, Chargrilled Chicken Breast, Crumb Fried Fish and Chips']",08929188553,"['Finger', 'Food,', 'North', 'Indian,', 'Italian']",28.546625,77.196906,4.2,169,16
Wok in the Clouds,500,"C-3, Guru Nanak Pura Laxmi Nagar Opposite V3S Mall East Delhi 110092",No_About,QSR,"['Home Delivery', 'Seating Not Available', 'Wallet Accepted', 'Delivery Only']",09599338223,"['Fast', 'Food,', 'Burger']",28.638821,77.283948,,0,0
Sattvik,500,"DDA Market, 31-32, AL Block Shalimar Bagh Near Anytime Fitness North Delhi 110088","Ice Cream & Grill Cafe is a chain spread across the Capital, serving the best of fast food and desserts to its customers. The cafe offers an exclusive range of Ice-cream rolls, Ice-creams and a variety of fast food. The ice-creams are fresh and delightful. The cafe serves sugary goodness on a plate and satiate the sugar cravings just right. Ice Cream & Grill Cafe is perfect for those with a sweet tooth. The outlet is located in Shalimar Bagh, North Delhi and stands near Hans Emporium. Read less","Dineout Pay, QSR",No_Facilities,011-40046460 / 8448984644,"['Desserts,', 'Ice', 'Cream,', 'North', 'Indian,', 'Chinese,', 'Fast', 'Food']",28.703305,77.162048,4.5,6,3
Sutra,1500,"Gardens Galleria Mall, Ground Floor Sector 38A Opposite Gurudwara Sahib Noida 201301","Moire Cafe Lounge and Bar is highly reckoned for the unpretentious service and great value that it offers to its customers through the detectable servings. It offers a distinct carnival of culinary masterpieces that you can relish till the last bite. The lounge area has very relaxing ambience. You can party to let yourself get lost with the best wines that are served in the bar-area. Moire Cafe Lounge and Bar is the perfect amalgamation of fun, fervour, and lots of delectable cuisines that can leave an impeccable impression on your taste-buds. You will just love the service of its staff. It is located in Sector 38A, Noida. Read less","Happy Hours, Lounge, Cafe, Dineout Pay, Nightlife, Safe To Eat Out, Delhi Operational, Hottest in Town","['Air Conditioned', 'Valet Available', 'Serves Alcohol', 'Parking', 'Cards Accepted', 'Outdoor Seating', 'Screening', 'Wallet Accepted']",0120-6663226,"['Multi-Cuisine,', 'North', 'Indian,', 'Continental,', 'Oriental']",28.564049,77.321872,4.1,267,41
Pizza Hut,600,"Guru Nanak Pura, Ground Floor, B-6 Laxmi Nagar Near Vidhyapeeth academy East Delhi 110092",No_About,"Dineout Pay, QSR, Curfew",No_Facilities,011-7217889537,"['North', 'Indian,', 'Chinese']",28.638955,77.283985,,0,0
The Beer Cafe,1700,"Pacific Mall, S-2, 2nd Floor Sahibabad Near Uttar Pradesh State Transport Corporation Ghaziabad 201010",No_About,"Cafe, Casual Dining, Curfew","['Air Conditioned', 'Lift', 'Home Delivery', 'Parking', 'Cards Accepted']",0120-4248577,"['Multi-Cuisine,', 'North', 'Indian,', 'Italian,', 'Chinese,', 'Fast', 'Food']",28.646503,77.319947,5,1,0
