Name,Cost_for_2,Address,About,Type,Facilities,Contact,Cuisine,Latitude,Longitude,Stars,Vote_Count,Review_Count
Local,1800,"Scindia House, 11, Ground Floor, Atmaram Mansion Connaught Place Near Gitanjali Jewellery Central Delhi 110001","Local, situated in the heart of the capital, is a colossal beauty for all party lovers. It is the epitome of class and elegance, with interiors adorned by paintings of monuments in Delhi, the space is just beautiful. Serving some of the best North Indian and Continental dishes from its affordable menu, Local makes it a worthwhile visit for one and all. The exclusive bar menu also offers an array of drinks and fine spirits to choose from. Be it getting into the party zone or spending some good time with your friends or unwinding with your colleagues, Local is where you can head to for some unadulterated happiness! The additional feature is the DJ nights hosted there which makes everyone groove on the dance floor. Local is located in Scindia House in Connaught Place, Delhi. Read less","Happy Hours, Dineout Pay, Casual Dining, Nightlife, Bar, Future Vouchers, Safe To Eat Out, Delhi Operational, Hottest in Town","['Ghar Ki Baat, Botalan Sharab Diyanm Paan Cosmo, Local Liit, Chai Ka Punch, Aam Mojito, Punjabi Old Fashon, Lebanese Inhouse,Farmer Vegetable Pizza,Loaded Cheese Nachos,Himachali Tawa Chicken,Murg Keema Makhan Pao,Fish Finger Skewars']",09599553145,"['North', 'Indian,', 'Italian,', 'Continental,', 'Asian,', 'Fast', 'Food']",28.630053,77.221065,4.1,2464,253
Tamasha,2000,"28 , Kasturba Gandhi Marg Connaught Place Near HDFC Bank Central Delhi 110001","Tamasha is one of the most popular places to hang out in Heart of Delhi-CP. This Restaurant has Distinct Seating Areas including a Courtyard, Ground Floor, First Floor, Backyard and an Amazing Rooftop over spacious ambience. Tamasha offers multi-cuisine dishes from North Indian, Italian, Continental and Asian cuisines and an array of Finger Food. Tamasha is an ideal place for a Night Out Friends or good times with Family Members. The eye-catching bar is built to resemble Optimus Prime, a fictional character from the Transformers Franchise. This is a super awesome place which is definitely worth going for one and all! Read less","Happy Hours, Lounge, Dineout Pay, Casual Dining, Nightlife, BOGO Food and Drinks, Bar, Safe To Eat Out, Delhi Operational","['Dahi Kebab, Dragon Roll, Alfredo Penne,Golden Prawns, Phuket Fish, Chicken Chettinad']",09999477661,"['Continental,', 'Finger', 'Food,', 'North', 'Indian,', 'Italian,', 'Asian']",28.629487,77.221558,4.2,5074,473
The Junkyard Cafe,1800,"91, 2nd Floor, Block N, Outer Circle Connaught Place Opposite Sciendhia House Central Delhi 110001","The Junkyard Cafe is a small chain of casual dining resto-bars and lounges offering a rustic yet vibrant ambiance along with an eclectic bar menu serving an array of drinks and spirits making it a perfect place for people to enjoy the nightlife. The place offers an extensive food menu which is in line with the varied tastes and preferences of the diners and serves a variety of delicious Indian, Asian, and Mediterranean delicacies. The exclusive Hookah menu offers a range of flavorful and aromatic Sheeshas. This outlet is located in N Block, Connaught Place. The lounge provides a quirky environment with casual, colorful, and comfortable lounge and chairs. The additional feature is the beautiful open terrace area where one can have sumptuous food and amazing drinks while enjoying a spectacular view of the city. Read less","Happy Hours, Lounge, Dineout Pay, Nightlife, Bar, Future Vouchers, Safe To Eat Out, Delhi Operational, Hottest in Town","['Bourbon Wreckage Fluid, Floral Salvage Fluid, Metal Bender, Maple Wood Salvage Fluid, English Central Monitor']",011-9599947642,"['North', 'Indian,', 'Mediterranean,', 'Asian,', 'Italian,', 'Oriental']",28.630223,77.220512,4.1,2850,370
The G.T. ROAD,1800,"M- Block, 39, Outer Circle Connaught Place Near HDFC Bank Central Delhi 110001","One of the best multi-cuisine restaurants in Connaught Place, The GT Road takes one on a gastronomic...  Read more","Happy Hours, Buffet, Lunch Buffet, Dinner Buffet, Dineout Pay, Casual Dining, GIRF Awards 2020, Delhi Operational","['GTR Flavored Mojitos, Vodka Shikanji, Jamun-tini, Imli Margarita, Sharabi Lassi, Masala Chai Rum']",09871121428,"['North', 'Indian']",28.633195,77.222756,4.3,2420,358
Unplugged Courtyard,2000,"L 23/7, Middle Circle Connaught Place Near Odeon Cinema Central Delhi 110001",Unplugged Courtyard is a specialty restaurant that is located in Connaught Place. It is a place for people who like to stick to their favorite cuisine and do not like to experiment much. Unplugged Courtyard respects their choice by offering well-prepared and mouth-watering North Indian and Continental cuisine. The place also holds a subtle ambiance paired up with a splendid outdoor seating that makes sure you land up at the same place when it comes to having your favorite cuisine in the most authentic form. An addition to the offering is a collection of signature spirits and a soothing live music. The nearest landmark is Odeon Cinema. Read less,"Dineout Pay, Casual Dining, Nightlife, Bar, Safe To Eat Out, Delhi Operational","['Smoking Area', 'Air Conditioned', 'Wifi', 'Valet Available', 'Serves Alcohol', 'Parking', 'Live Performance', 'Cards Accepted', 'Amex Accepted', 'Full Bar Available', 'Outdoor Seating', 'Screening']",09999396661,"['North', 'Indian,', 'Continental']",28.634146,77.221615,4.1,1845,211
Ardor 2.1 Restaurant and Lounge,2000,"N-55-56 & 88-89, 1st & 2nd Floor, Outer Circle Connaught Place Opposite Scindia House Central Delhi 110001",Ardor 2.1 Restaurant and Lounge is a multi-cuisine casual dining restaurant with a classic aura pair...  Read more,"Lounge, Dineout Pay, Casual Dining, Nightlife, Bar, Future Vouchers, Safe To Eat Out, Delhi Operational","['Modi Ji 56 Inch Thali, United India Thali']",09810187088,"['Multi-Cuisine,', 'North', 'Indian,', 'Italian,', 'Chinese,', 'Continental,', 'Seafood']",28.630151,77.220102,3.9,1419,321
The Darzi Bar & Kitchen,2000,"55, 1st Floor, H Block, Connaught Circus Connaught Place Next To Canara Bank Central Delhi 110001","The Darzi Bar & Kitchen is located in the heart of Delhi and is a place where you will get a variety of drinks and an amazing ambience. Put in simpler terms, what fashion is to a Tailor, cocktails are to Darzi! Enjoy tailor-made cocktails and a splendid culinary experience with exquisite Multi cuisines at The Darzi Bar & Kitchen. Read less","Happy Hours, Lounge, Pub, Dineout Pay, Nightlife, Bar, Safe To Eat Out, Delhi Operational, Hottest in Town","['Souvide nalli nihari, Souvide pork belly, Darzi masala Raan, Darzi trout fish, Kerala fish curry, Chicken taka tak, Curry pizzas, Kandhari paneer Tikka, Amristari thali, ISBT Makhani Maggi, Pineapple halwa']",09311714704,"['Multi-Cuisine,', 'North', 'Indian,', 'Italian,', 'Continental,', 'Mexican,', 'European,', 'Asian,', 'Oriental']",28.6353,77.2186,4.1,1670,414
Station Bar,2000,"F-Block, 60, 2nd Floor Connaught Place Near Sony Digital Centre Central Delhi 110001","Station Bar is a one-stop destination for people who want to have a fun time with their families and friends. The eye-catching colorful decor just does not ends there. We have a spectacular outdoor seating for romantic evenings. The lounge has an affordable menu that offers North Indian, Continental, Mediterranean, Oriental and Italian cuisines that you will simply savor and crave for more. The nearest landmark is Sony Digital Centre. Read less","Happy Hours, Lounge, Dineout Pay, BOGO Food and Drinks, Bar, Future Vouchers, Safe To Eat Out, Delhi Operational, Hottest in Town","['Grilled Chicken Breast with Mushroom & Peppercorn Sauce, Grilled Fish with Lemon Caper Sauce, Pan Seared Sole Black Pepper Sauce, New York Cheese Cake']",08750102000,"['Multi-Cuisine,', 'North', 'Indian,', 'Italian,', 'Continental,', 'Mediterranean,', 'Oriental']",28.631069,77.219786,4.1,2459,546
My Bar Square,1500,"E-34 & 35, 1st Floor, Inner Circle Connaught Place Near Rajiv Chowk Metro Station Gate 4 Central Delhi 110001","My Bar Square is a place where you will get a variety of drinks and a rocking and awesome ambiance. This place is a hit amongst youngsters and amongst people who wants to experience the nightlife. My Bar Square has a budget-friendly menu and serves multiple cuisines. It is a place which is considered as heaven for all the bar lovers as it gives unlimited happiness without hurting your pocket. For all music lovers and for people who like to groove and move, there is no better place than My Bar Square. The outlet is located in Connaught Place, Delhi. Read less","Lounge, Dineout Pay, Bar, Safe To Eat Out, Delhi Operational, Hottest in Town","['Smoking Area', 'Air Conditioned', 'Wifi', 'Home Delivery', 'Parking', 'Take Away', 'Live Performance', 'Cards Accepted', 'Full Bar Available', 'Screening']",07011397919,"['Finger', 'Food,', 'Italian,', 'Chinese,', 'Continental']",28.632975,77.221552,3.9,527,65
Ghoomar Traditional Thali Restaurant,1000,"K 43, 1st Floor, Connaught Circle Connaught Place Near Gospel Hall Central Delhi 110001","Ghoomar Traditional Thali Restaurant is located at Connaught Place, Central Delhi. Its ambiance is very traditional and it makes you feel as if you are in Rajasthan. There is a high level of hygiene maintained inside the restaurant. The staff is very humble and make sure that you eat to your heart’s content. The food is prepared using the best of the ingredients. Ghoomar Traditional Thali Restaurant serves fantastic delectable Rajasthani thali. Read less","Pure Veg, Dineout Pay, Casual Dining, Delhi Operational, Hottest in Town","['Air Conditioned', 'Home Delivery', 'Parking', 'Take Away', 'Cards Accepted', 'Wallet Accepted']",09810703703,['Rajasthani'],28.634868,77.220131,4.2,753,210
Lord of the Drinks,2000,"72, 1st Floor, Block G, Outer Circle Connaught Place Near Rajiv Chowk Gate Central Delhi 110001","Lord of the Drinks is located in the heart of Delhi and is a place where you will get a variety of drinks and a lively and awesome ambience. The ambiance gives you a rustic cottage feel, credits to great interiors and furniture from Bent Chair. The spacious and luxurious outdoors won't disappoint if you want a fantastic view of Connaught Place. This place is an instant hit amongst youngsters and amongst people who wants to experience the nightlife. For all music lovers and for people who like to groove and move, there is no better place than Lord of the Drinks. Read less","Happy Hours, Lounge, Dineout Pay, Nightlife, Bar, LGBTQIA, Contactless Dining, Delhi Operational","['Satay Tandoori Chicken Wings, Kalonji Mutton Kebabs, Anda Chicken Tawa Seeekh, Shish Kebabs, Chilli Martini']",09999827144,"['Multi-Cuisine,', 'North', 'Indian,', 'Continental,', 'Japanese,', 'Oriental']",28.631806,77.216755,4.2,2720,306
The Luggage Room By Sandoz,1800,"M-Block, 39, 1st Floor, Outer Circle Connaught Place Near HDFC Bank Central Delhi 110001","The Luggage Room by Sandoz has the idealistic rustic ambiance that is all-embracing. The spacious seating unleashes the fun person in you. The cordial staff makes sure you get the right services and revisit the place to experience the jovial aura of the place. The cost-effective menu features lavish dishes in North Indian, Chinese, Italian and Continental cuisines that make you crave for more. The chefs are efficient at seasoning the dishes with the right kind of ingredients. The Luggage Room by Sandoz gives you a one of a kind experience with its multiple and mouth-watering ingredients. The Luggage Room By Sandoz is located in Connaught Place and the nearest landmark is HDFC Bank Branch. Read less","Lounge, Dineout Pay, Bar, Delhi Operational, Hottest in Town","['Smoking Area', 'Air Conditioned', 'DJ', 'Lift', 'Serves Alcohol', 'Parking', 'Live Performance', 'Cards Accepted', 'Amex Accepted', 'Full Bar Available', 'Dance Floor', 'Screening', 'Wallet Accepted']",08820202052,"['Multi-Cuisine,', 'North', 'Indian,', 'Italian,', 'Chinese,', 'Continental']",28.633064,77.222785,4,1054,118
Openhouse Cafe,2000,"37, C-Block Connaught Place Opposite Odeon Cinema Central Delhi 110001","Openhouse Cafe is a Lounge that serves its diners authentic Pan Asian, Italian, North Indian and European cuisine with a wide range of alcoholic blends and cocktails. The gorgeous interiors and the chrome plated decor will enchant you with a soothing aura and the luscious food served will form a bond with you. Openhouse Cafe boast of red and black well lit setting paired with brown leather couches, a gallery lined with cookbooks and crisp table linen. Known for its outstanding interiors and great food, Open house cafe is a perfect place to enjoy a delicious meal with family, friends or a loved ones. For a wonderful experience of smell, sight, and taste: Open house is the place to be. Read less","Happy Hours, Lounge, Pub, Dineout Pay, Delhi Operational","['Dim Sums, Sharabi Kebabi Chicken Tikka, Big Butter Chicken Jackets, Rock Corn Tempura, Vietnamese Lotus Stem']",09711834694,"['Multi-Cuisine,', 'North', 'Indian,', 'Italian,', 'Continental,', 'American,', 'Asian,', 'Modern', 'Indian']",28.634303,77.22046,4.2,1300,112
Ministry Of Beer,2100,"M-Block, 43-44, Ground, 1st & 2nd Floor, Outer Circle Connaught Place Opposite Shanker Market Central Delhi 110001","Ministry of Beer is located at Outer Circle in Connaught Place- Heart of Delhi. It is a place where you will get a variety of drinks and an awesome ambiance. This place is an instant hit amongst youngsters and amongst people who wants to experience the nightlife. Ministry of Beer CP has a budget-friendly menu and serves mostly Finger food. The added feature is its Outdoor Seating. For all music lovers and for people who like to groove and move, there is no better place than Ministry of Beer CP. Read less","Lounge, Dineout Pay, Bar, Safe To Eat Out, Delhi Operational, Hottest in Town","['Smoking Area', 'Air Conditioned', 'DJ', 'Wifi', 'Valet Available', 'Serves Alcohol', 'Live Performance', 'Cards Accepted', 'Amex Accepted', 'Full Bar Available', 'Dance Floor', 'Outdoor Seating', 'Screening', 'Wallet Accepted']",08800012060,"['Finger', 'Food,', 'North', 'Indian,', 'Italian,', 'Continental,', 'Asian,', 'Oriental', ',', 'Fusion']",28.633166,77.222732,3.9,1525,190
Master Of Malts,2000,"14 Scindia House, 2nd Floor, Atma Ram Mansion, K.G. Marg Connaught Place Near British Motors Central Delhi 110001","Master of Malts is a Casual dining resto-bar and lounge offering a fine and amazing ambience with a beautifully dim-lights and comfortable seating area. The place offers an affordable multi-cuisine menu which serves a variety of North Indian, Asian, Continental, European, Mediterranean and Italian delicacies and that too of great tastes. The eclectic bar menu offers an array of drinks and fine spirits to choose from along with a range of mouth-watering finger food items. The additional features are the Live Music performances and the Karaoke nights hosted there which makes everyone groove to the music. Besides the delicious food and thirst-quenching drinks this place offers, the cosy corners and comfortable lounges make the visit worthwhile. The outdoor seating area available in this place makes an awesome combination of relishing food, crazy music, and good vibes. Located in Scindia House in Connaught Place, Delhi, Master of Malts is an ideal place for people to enjoy the nightlife. Read less","Happy Hours, Dineout Pay, Casual Dining, Nightlife, GIRF Awards 2020, Future Vouchers, Delhi Operational, Hottest in Town","[""Caribbean Jerked Chicken,Kung Pao Mushroom,Tandoori Pineapple Chat,Dal Makhani Shooters With Cheese Naan,Zaatar Chicken Wings,Grilled Fish,Master's Pizza""]",09599483239,"['Multi-Cuisine,', 'North', 'Indian,', 'Italian,', 'Continental,', 'Mediterranean,', 'Asian']",28.6297,77.2211,4.1,1281,189
Out Of The Box Courtyard,2000,"B 14/1-6, Middle Circle Connaught Place Near H&M Store Central Delhi 110000",No_About,"Romantic, Dineout Pay, Casual Dining, Bar, Safe To Eat Out, Delhi Operational, Hottest in Town","['Smoking Area', 'Air Conditioned', 'Wifi', 'Home Delivery', 'Parking', 'Take Away', 'Live Performance', 'Cards Accepted', 'Full Bar Available', 'Outdoor Seating']",07701801223,"['Multi-Cuisine,', 'North', 'Indian,', 'Italian,', 'Chinese,', 'Continental,', 'American,', 'Asian,', 'Fast', 'Food,', 'Pizza']",28.634331,77.218096,4.1,318,60
QBA,2100,"E-42 & 43, Inner Circle Connaught Place Near HP Petrol Pump Central Delhi 110001","Centrally located in the business district of Delhi, the Inner Circle of Connaught Place, New Delhi. QBA restaurant & bar has become the destination choice for fine dining in the capital. The décor relaxes the mind along with the comfortable seating, it is an ideal place for business lunches or just meeting over food & drinks. There is a visible change at night when mesmerizing fibre optic lights give an altogether different experience & feel to the place and the colour washed lights set up a perfect ambience. Their menu ranges from Indian and Oriental to Italian and Lebanese with the aim to create the perfect balance of taste and aroma without compromising on the originality of each dish. Some signature dishes include Dal Makhani, Paneer Lababdar, Nihari Gosht, Mezze Platter, Tandoor Chooza, Thai Curry. The Lounge spans across 12,000 sq ft inculcating two floors with beautifully designed interiors and garden views. The diners will be assured of good music, great ambience and service. A trendy dining spot, it makes for a fun hangout with friends and family. Read less","Happy Hours, Dineout Pay, Casual Dining, Bar, Safe To Eat Out, Delhi Operational, Hottest in Town","['Mezze Platter,Mutton Nihari,Tandoori Chooza,Goan Fish Curry,Thai Curry,Dim Sum,Rabri Kulfi & Death By Chocolate']",09560871118,"['Multi-Cuisine,', 'North', 'Indian,', 'Italian,', 'Continental,', 'Oriental']",28.632166,77.221428,4.3,999,91
38 Barracks,2000,"M-Block, 38, Ground & 1st Floor, Outer Circle Connaught Place Opposite Shanker Market Central Delhi 110001","38 Barracks is located in the heart of Delhi - Connaught Place and is a perfect place to feel the sounds of World music. The restaurant operates at two floors- the ground floor is well equipped with high-quality extreme sound systems, laser lights, well-stocked bar and DJ Console, thus a place where one can organize Private Disc Parties. And the 1st Floor is for people with lots of energy to enjoy their day with loud music, rounds of tequilas and test tube shots and a menu which leaves you spoilt for choice. 38 Barracks is the place to come in with friends & family. Read less","Happy Hours, Sunday Brunch, Dineout Pay, Casual Dining, Nightlife, Brunch, Bar, Contactless Dining, Delhi Operational","['Sergeant, Military Camp, Bunta, 49th Battalion, Watermelon Basil Thunder, Paneer Tikka Barrel, Tandoori Pomfret, Clash Of Clan, Spanakopita']",09717304098,"['North', 'Indian,', 'Italian,', 'Chinese,', 'Continental']",28.632961,77.222787,4.3,1324,132
Imperfecto,2400,"52, Tolstoy Lane Janpath Opposite Janpath Market Central Delhi 110001","Informal By Imperfecto is a Casual Dining restaurant located in Janpath. It is a place where you can relish every bite of Modern Indian, Oriental, Thai, Continental, Italian and Lebanese cuisine and that too at a price that is light on your pocket. The well-arranged decor of the place paired up with outdoor seating is no less than amazing. The cordial staff is always on its toes to make sure everything falls into place smoothly and is worth your time. An addition to the offering is a variety of signature spirits. Informal Janpath is a perfect place for people who want to go to a place that is cost-effective and at the same time gives satisfactory returns. The nearest landmark is Opposite Janpath Market. Read less","Happy Hours, Lounge, Dineout Pay, Nightlife, Bar, Future Vouchers, Delhi Operational, Hottest in Town","['Smoking Area', 'Air Conditioned', 'DJ', 'Wifi', 'Serves Alcohol', 'Parking', 'Differently Abled Friendly', 'Live Performance', 'Cards Accepted', 'Amex Accepted', 'Full Bar Available', 'Dance Floor', 'Outdoor Seating', 'Screening', 'Wallet Accepted']",09999123201,"['Multi-Cuisine,', 'Italian,', 'Continental,', 'Thai,', 'Oriental']",28.627052,77.220546,4.1,1640,172
Sandoz,1100,"L-9, Ground Floor Connaught Place Near Saraswat Co-Operative Bank Central Delhi 110001",No_About,"Kids Friendly, Dineout Pay, Casual Dining, Safe To Eat Out, Delhi Operational","['Air Conditioned', 'Home Delivery', 'Parking', 'Take Away', 'Cards Accepted', 'Wallet Accepted']",08595951358,"['North', 'Indian,', 'Chinese,', 'Mughlai']",28.634566,77.221988,4.2,165,31
Padmanabham,700,"52, Atul Grove Road Janpath Next To Yes Bank Central Delhi 110001",No_About,"Pure Veg, Dineout Pay, Casual Dining, Delhi Operational, Hottest in Town","['Home Delivery', 'Parking', 'Take Away', 'Cards Accepted', 'Amex Accepted', 'Wallet Accepted']",07982119041,"['South', 'Indian,', 'North', 'Indian,', 'Street', 'Food']",28.627085,77.219661,4.2,255,54
DR Zombie,1800,"C-36, Inner Circle Connaught Place Near Van Heusen Store Central Delhi 110001",No_About,"Dineout Pay, Casual Dining, Delhi Operational, Hottest in Town","['Air Conditioned', 'Home Delivery', 'Serves Alcohol', 'Parking', 'Take Away', 'Cards Accepted', 'Full Bar Available', 'Wallet Accepted']",09891128689,"['Italian,', 'American,', 'Coffee']",28.634235,77.22031,4.1,164,32
Cafe High5,1800,"G-68, 1st Floor, Outer Circle Connaught Place Opposite P Block Market Central Delhi 110001",No_About,"Happy Hours, Lounge, Dineout Pay, Casual Dining, Bar, Future Vouchers, Delhi Operational, Hottest in Town","['Air Conditioned', 'DJ', 'Wifi', 'Serves Alcohol', 'Parking', 'Cards Accepted', 'Full Bar Available', 'Screening', 'Wallet Accepted']",08700855774,"['North', 'Indian,', 'Chinese,', 'Continental,', 'Oriental']",28.632282,77.216671,3.9,320,70
Cafe Hawkers,1200,"L-22, Ground Floor, Outer Circle Connaught Place Near Odeon Cinema Central Delhi 110001","Cafe Hawkers is located in the heart of Delhi - Connaught Place and is a great place to have sumptuous food and beverages with another level of entertainment. The restaurant serves a variety of scrumptious Chinese, Italian and North Indian delicacies along with a variety of waffles and thirst-quenching drinks from their eclectic bar menu. The interiors are casual and soothing with the seats being comfortable that give the diners a wonderful dining experience. Cafe Hawkers is first of its kind to dine in a restaurant serving delicious signature cuisines from across the globe. Read less","Cafe, Dineout Pay, Casual Dining, Delhi Operational","['Air Conditioned', 'Home Delivery', 'Serves Alcohol', 'Parking', 'Cards Accepted', 'Amex Accepted', 'Serves Wine', 'Full Bar Available', 'Screening', 'Wallet Accepted']",09811070470,"['North', 'Indian,', 'Italian,', 'Fast', 'Food']",28.63462,77.22117,4.3,719,60
Pind Balluchi,1800,"Scindia House, 1/3, Outer Circle Janpath Opposite Janpath Market Central Delhi 110001","Pind Balluchi is a popular chain of restaurants that serve Indian cuisine from the province of Punjab, which is known for its spicy indulgence and the rich aroma. The various ingredients and rich gravy preparation provide a soul-satisfying taste to the diners. The outlet is located in Scindia House, Janpath, Delhi. Pind Balluchi has a spacious and eluality time with families who are equally in love with authentic Indian curry dishes. The beverages are made to quegant ambiance and is ideal for Indian food eaters who like spending qench the thirst. The restaurant is fashioned in the style of a grand village courtyard, complete with a banyan tree and overhead lighting giving it an alfresco feel. Pind Balluchi provides one of a kind experience for all food lovers. Read less","Dineout Pay, Casual Dining, Delhi Operational","['Air Conditioned', 'Serves Alcohol', 'Parking', 'Cards Accepted', 'Amex Accepted', 'Full Bar Available', 'Wallet Accepted']",09910629368,"['North', 'Indian,', 'Mughlai']",28.629205,77.219656,4,181,27
Dhaba Estd 1986 Delhi,2000,"B 42, 1st Floor Connaught Place Near Mohanlal Sons Central Delhi 110001",No_About,"Dineout Pay, Casual Dining, Safe To Eat Out, Contactless Dining, Delhi Operational","['Air Conditioned', 'Home Delivery', 'Parking', 'Take Away', 'Cards Accepted', 'Wallet Accepted']",011-42670371,"['North', 'Indian']",28.634484,77.219049,4.2,61,6
Daryaganj,2000,"Regal Cinema Complex, Shop No 11 Connaught Place Near ICICI Bank Parliament street Central Delhi 110001",No_About,"Dineout Pay, Casual Dining, Safe To Eat Out, Delhi Operational","['Air Conditioned', 'Home Delivery', 'Serves Alcohol', 'Parking', 'Take Away', 'Cards Accepted', 'Full Bar Available', 'Wallet Accepted']",09911350222,"['North', 'Indian,', 'Seafood,', 'Mughlai,', 'Biryani']",28.62994,77.2173,4.1,44,10
Bo-Tai Switch,1200,"Shangri-La's Hotel, 19, Ashoka Road, Connaught Place Janpath Near Janpath Business Centre Central Delhi 110001",No_About,"5 Star, Dineout Pay, Casual Dining, Safe To Eat Out, Delhi Operational","['Smoking Area', 'Air Conditioned', 'Wifi', 'Valet Available', 'Parking', 'Take Away', 'Cards Accepted', 'Full Bar Available', 'Outdoor Seating', 'Wallet Accepted']",09205598985,"['Italian,', 'Thai']",28.621148,77.217922,4.1,79,5
Ranisa,800,"P14/90, Block P Connaught Place Near United Bank of India Central Delhi 110001",No_About,"Dineout Pay, Casual Dining, Delhi Operational","['Air Conditioned', 'Home Delivery', 'Parking', 'Take Away', 'Cards Accepted']",09711444395,['Rajasthani'],28.632181,77.216109,4.6,14,3
Khandani Rajdhani,1000,"Scindia House, 9, Ground Floor, Block A, Outer Circle Connaught Place Opposite Indian Oil Bhawan Bus Stop Central Delhi 110001",Khandani Rajdhani is a place for all people who have a pure vegetarian appetite. It brings its delicacies from the states of Gujarat and Rajasthan and pairs that up with the ethnic interiors that take you to a worthwhile journey of food and fun. This specialty restaurant keeps on reinventing its dishes and never fails to surprise you with its menu. Khandani Rajdhani stands opposite to Indian Oil. Read less,"Buffet, Lunch Buffet, Dinner Buffet, Pure Veg, Dineout Pay, Casual Dining, Delhi Operational, Hottest in Town","['Air Conditioned', 'Home Delivery', 'Parking', 'Cards Accepted', 'Amex Accepted', 'Wallet Accepted']",011-43501200,"['Gujarati,', 'Rajasthani']",28.629908,77.220217,4,422,66
Punjab Grill,2200,"78, Atul Grove Road Janpath Opposite Janpath Market Central Delhi 110001","Punjab Grill is a Fine Dining restaurant with various outlets all over Delhi NCR, including one loca...  Read more","Dineout Pay, Casual Dining, Gourmetlicious, Future Vouchers, Delhi Operational","['Beetroot Ki Tikki, Tandoori Broccoli, Murgh Makhni, Nalli Nihari, Chaamp Tajdar, Tandoori Raan, Mutton Dum Biryani']",09310020740,"['North', 'Indian,', 'Mughlai']",28.628464,77.219654,4,152,36
Taco Bell,500,"Shop no 11, Ground Floor, Block N, Connaught Circus Outer Circle Connaught Place Opposite DTC Office Central Delhi 110001","Taco Bell is the world's leading Mexican-inspired quick service restaurant chain now in India. With the most economical menu range, Taco Bell offers world-class tacos, burritos, nachos & other specialities with bold flavours, quality exotic ingredients, and best in class customer service. The extensive menu has signature vegetarian & non-vegetarian dishes such as the global iconic Naked Chicken Taco, 7 Layer Burrito, Chickstar Wrap, and Cheese Quesadilla, local twist with Tikka Masala Burrito as well as desserts such as the iconic Chocodilla, Churros & much more. The place assures you of good times, elaborate menu and most importantly good food. The varied dishes that you get here give you an at home taste. This specialty restaurant takes that endeavor to serve the diners with delicious Mexican cuisine that is flavorful. The outlet is located in Connought Place opposite DTC Office. Read less","Dineout Pay, QSR, Delhi Operational","['Air Conditioned', 'Wifi', 'Home Delivery', 'Parking', 'Take Away', 'Cards Accepted', 'Wallet Accepted']",07428535745,"['Mexican,', 'Tex', 'Mex']",28.63015,77.220239,4,39,7
Bagundi,1000,"M-Block, 14, Outer Circle Connaught Place Near IRCTC Connaught Place Central Delhi 110001","Bagundi is a Casual Dining restaurant located in Connaught Place, Central Delhi. The ambience is aes...  Read more","Dineout Pay, Casual Dining, Delhi Operational","['Air Conditioned', 'Home Delivery', 'Parking', 'Take Away', 'Cards Accepted', 'Wallet Accepted']",09319107711,"['South', 'Indian,', 'Andhra,', 'Seafood']",28.631894,77.222586,4.3,172,20
Fifty9,2800,"Radisson Blu Marina, G-Block, Connaught Circus Connaught Place Opposite Abdus Salam Masjid Central Delhi 110001","Fifty9 is a place for people who are very specific about the superior quality of food and service. A beautiful and luxurious ambiance surely makes your visit worthwhile. Fifty9 is located in Radisson Blu Marina Hotel in Connaught Place, Delhi. Every dish in their multi-cuisine menu is of the finest taste and is served to diners after an all-day fine work that Chefs put in. The premium menu is in line with people of varied tastes and preferences and serves a range of North Indian, Oriental and Continental dishes. The fabulous buffet menu is perfect for large groups. The additional feature is the Live Music Performances hosted there. The kind team adds on to the overall dining experience and all diners surely experience a great time. Read less","5 Star, Breakfast, Fine Dining, Buffet, Luxury Dining, Dineout Pay, Delhi Operational","['Golden Fried Prawns, Multani Chutney Bara Paneer Tikka, Veg salt & Pepper, Tandoori Chicken, Vegetable Shika Puri, Cosmopolitan, LIT, Bloody, Mary, Mojito, Caipiroska']",No_Contact,"['North', 'Indian,', 'Continental,', 'Oriental']",28.633903,77.217242,3.7,194,71
Blues,2000,"N-18, Ground Floor, Outer Circle Connaught Place Opposite Scindia House Central Delhi 110001","Blues is located at Connaught Place. Blues is one of the finest pubs in Delhi. A complete evening under one roof where you get Great Music, Dance, Drinks, Food and Masti altogether. They are also known for their elegantly organized and extremely enjoyable Theme Parties. Read less","Happy Hours, Lounge, Dineout Pay, Restobar, Nightlife, LGBTQIA, Delhi Operational, Hottest in Town","['Mexican Grande Backed Nachos, Australian Chicken Strips']",08860420875,"['Multi-Cuisine,', 'Finger', 'Food,', 'North', 'Indian,', 'Chinese,', 'Continental,', 'American']",28.630510,77.220575,4.2,94,23
Chaayos,500,"M-Block, 66, 1st Floor, Outer Circle Connaught Place Opposite Statesman House Building Central Delhi 110001","Chaayos is a chain of Tea Cafés in India that provides an eclectic range of the finest Teas and Eats. Offering a large variety of tea options, Chaayos is the place to be if you love tea. This is a fantastic place to hang out and is for people who are big-time Tea-lovers. The fine and pleasant ambiance and an economical menu of Chaayos is an immediate attraction amongst the people. The Cozy corners are just perfect for meetings, conversations, book reading or even spending a quality time with your friends along with delicious indulgence into a variety of teas and snacks. The outlet is located in Connaught Place, Central Delhi and stands nearby The Raymond Shop. Read less","Breakfast, Dineout Pay, QSR, Delhi Operational","['Air Conditioned', 'Wifi', 'Home Delivery', 'Parking', 'Take Away', 'Cards Accepted', 'Wallet Accepted']",09599598307,"['Street', 'Food,', 'Tea,', 'Fast', 'Food']",28.6315,77.222334,4.3,66,2
